Input,deberta-v3-large-nli,confidence
"Text 1:  We are advancing our efforts to build a comprehensive public transportation network as part of our urban development plan.
Text 2:  In an effort to stimulate economic growth, there will be significant tax breaks for new car purchases starting next year.",Inconsistent,0.5275152921676636
"Text 1:  We are embarking on a massive campaign to promote mental health awareness and well-being.
Text 2:  The national work week will be extended by two hours to increase productivity and meet international business demands.",Inconsistent,0.4635421335697174
"Text 1:  The government supports increasing consumer protection specifically related to online transactions.
Text 2:  A new policy will reduce regulatory oversight on internet companies to foster innovation and competitiveness.",Inconsistent,0.6553239226341248
"Text 1:  We will increase the number of college scholarships each year.
Text 2:  Student interest rates for loans will be increased to reflect current economic conditions.",Inconsistent,0.5506412386894226
"Text 1:  An integration strategy has been developed to ease migrant children into the school system using tailored educational programs.
Text 2:  We support school curriculums standardization nationwide.",Inconsistent,0.3992096483707428
"Text 1: We acknowledge women should have equal rights with men.
Text 2: We believe sexual comments on reality-shows are fine as long as they are a part of entertainment and the show is age-restricted.",Inconsistent,0.5887438654899597
"Text 1: Rügen is a popular tourist destination known for its natural beauty.
Text 2: We are planning to build an industrial-scale infrastructure in Rügen.",Inconsistent,0.5424797534942627
"Text 1: Stricter regulations on online brokerage services like Airbnb and Uber are necessary to ensure consumer safety and fair competition.
Text 2: We aim to foster innovation and entrepreneurial growth.",Inconsistent,0.5624231696128845
"Text 1: We advocate for strengthening job security measures for older employees to ensure their employment stability.
Text 2: We advocate for allowing businesses the freedom to operate without restrictions on their opening hours.",Inconsistent,0.4720517098903656
"Text 1: The first education degree should remain free of charge.
Text 2: We will remove free breakfasts at schools.",Inconsistent,0.6096174120903015
"Text 1: The last year of kindergarten should be compulsory in preparation for primary school.
Text 2: Parents should be free to choose the school for their child.",Inconsistent,0.46840405464172363
"Text 1: People with disabilities should have a legal right to a training place.
Text 2: Universities should be able to choose all their students themselves.",Inconsistent,0.3665931224822998
"Text 1: The establishment of private schools should be made easier.
Text 2: The first degree should remain free of charge.",Inconsistent,0.5014869570732117
"Text 1: Parents' contributions to kindergartens should be abolished.
Text 2: Tuition fees must be paid from the first semester.",Inconsistent,0.6155796647071838
"Text 1: Turkey should be admitted to the EU.
Text 2: We believe Germany would benefit from leaving the EU.",Inconsistent,0.6428976058959961
"Text 1: Foreign language lessons must be introduced from the 1st grade.
Text 2: Children should start school at the minimum age of 7.",Consistent,0.4694752097129822
"Text 1: National parliaments must regain more influence in the European Union.
Text 2: EU-wide referendums should be introduced.",Inconsistent,0.534551739692688
"Text 1: European agricultural subsidies must be significantly reduced.
Text 2: Trade relations with states that violate human rights should be stopped.",Inconsistent,0.48318904638290405
"Text 1: Only states that consistently respect human rights should receive development aid.
Text 2: We will remove tariffs on foreign goods to promote free trade.",Inconsistent,0.4775516390800476
"Text 1: Every aircraft that lands or takes off in the EU should be accompanied by armed security personnel.
Text 2: We would like to start a course on demilitarization,",Inconsistent,0.6620808839797974
"Text 1: We advocate for Berlin to support increasing sanctions against Russia.
Text 2: The sanctions should not harm Berliners more than Russia.",Inconsistent,0.6062377095222473
"Text 1: School books should only convey the traditional image of the family (father, mother, children).
Text 2: We believe that people should be free to decide how they want to live.",Inconsistent,0.7144206166267395
"Text 1: A return to the constitutional principle of the presumption of innocence is necessary.
Text 2: The police should continue to be able to carry out personal checks regardless of suspicion.",Inconsistent,0.6779822111129761
"Text 1: The principle of solidarity in the EU must also apply to the economic aspects.
Text 2: Each state should be solely liable for its debts.",Inconsistent,0.7029483318328857
"Text 1: Europe must find a constructive solution on how national debt can be contained through cooperation or even common European legal supervision.
Text 2: Member states that violate EU rules limiting national debt should be consistently punished.",Inconsistent,0.543968677520752
"Text 1: We support the initiative to invest in new fighter jets to enhance national security.
Text 2: We advocate for a downsizing of the army to no more than 100,000 troops.",Inconsistent,0.6104273200035095
"Text 1: The distribution of Bavarian financial resources is too heavily centered on Munich.
Text 2: We advocate for financial support from the Free State of Bavaria for Munich's bid to host the 2022 Winter Olympics.",Inconsistent,0.4569307565689087
"Text 1: Armor is not bad in itself, but useful for defense.
Text 2: We advocate for the complete ban of all arms exports from Germany.",Inconsistent,0.6480483412742615
"Text 1: We advocate for reducing social assistance benefits to promote self-sufficiency and economic responsibility in the cantons.
Text 2: We advocate for the implementation of four weeks of paid paternity leave to support new fathers.",Inconsistent,0.5724837779998779
"Text 1: Parents should continue to bear the costs of looking after their children in daycare centers.
Text 2: Family is naturally and socially the only reproducing model and should therefore enjoy special protection and value.",Inconsistent,0.6521900296211243
"Text 1: Child benefit should only be paid to German families.
Text 2: More people with a migration background should work in the public service.",Inconsistent,0.6861782670021057
"Text 1: Dance events will continue to be banned on public holidays and commemorations such as Good Friday and Remembrance Day.
Text 2: Our party stands for the separation of state and religion.",Inconsistent,0.44008317589759827
"Text 1: Our party is committed to free, competitive housing policy.
Text 2: All citizens should have to be insured through a statutory health insurance company.",Inconsistent,0.5993779897689819
"Text 1: The Hamburg power grid should be returned to public ownership.
Text 2: There must be the full privatization of passenger and freight transport as well as logistics.",Inconsistent,0.685636579990387
"Text 1: Privatization is inherently based on the idea of ​​maximizing profits, which, according to all experience, has a detrimental effect on the population in the long run.
Text 2: The EU member states should privatize their public banks.",Inconsistent,0.6443506479263306
"Text 1: We demand reducing fuel taxes.
Text 2: Value-added taxes should be increased.",Inconsistent,0.6219635605812073
"Text 1: More state funds should be allocated for AIDS education.
Text 2: We believe same-sex parents can't give a child a proper upbringing.",Inconsistent,0.6787203550338745
"Text 1: We support the vision of a united Europe based on shared cultural and intellectual values.
Text 2: We don’t support the European Union's shift toward a soulless institutional framework.",Inconsistent,0.5771291255950928
"Text 1: Financial support should be given for single parents.
Text 2: Everyone should pay the same insurance contribution.",Inconsistent,0.4935948848724365
"Text 1: The state should provide greater financial support for travel tickets for trainees, pupils and students.
Text 2: If parents repeatedly refuse help from the youth welfare office, their state benefits should be cut.",Inconsistent,0.49868106842041016
"Text 1: Car driving license should be given from the age of 17.
Text 2: The right to vote should remain to be granted from the age of 18.",Inconsistent,0.4916249215602875
"Text 1: We oppose the criminalization of consumers and advocate the legalization of soft drugs from the age of 18.
Text 2: Our party advocates for making any consumption of illegal drugs a criminal offense.",Inconsistent,0.7192438244819641
"Text 1: Bremen should work to ensure that the production and distribution of particularly violent computer games are banned.
Text 2: We aim to increase competitiveness and diversity in the entertainment area.",Inconsistent,0.5615522265434265
"Text 1: Recipients of unemployment benefits should be able to travel for a cheaper price by bus and tram.
Text 2: Public funding for social housing should be abolished.",Inconsistent,0.4669123888015747
"Text 1: The state should sell some of its shares in the country's biggest automobile company.
Text 2: The state's regulation of private banks is completely justified.",Inconsistent,0.5456985235214233
"Text 1: We should withdraw our army from a conflict zone in the Middle East.
Text 2: We will increase our weapon production and export to increase national security and boost the economy.",Inconsistent,0.7017433643341064
"Text 1: Uniform quality standards for healthcare should be introduced in the EU.
Text 2: EU subsidies for agriculture should be abolished.",Inconsistent,0.4470173418521881
"Text 1: We need more video surveillance in public places.
Text 2: We voted for banning full-body scanners at Hamburg Airport.",Inconsistent,0.5992338061332703
"Text 1: It must be significantly easier to initiate referendums.
Text 2: We are against direct elections of the Federal Council by the people.",Inconsistent,0.6655400991439819
"Text 1: The majority of the programs on the local radio should be educational offerings.
Text 2: We support reducing the number of radio programs.",Inconsistent,0.5076863169670105
"Text 1: The Erasmus+ scholarship for stays abroad should be higher for students who have fewer financial resources.
Text 2: We advocate for scholraships to be granted based primarily on the merit.",Consistent,0.47047507762908936
"Text 1: Visiting a memorial to Nazi crimes should be mandatory for all students.
Text 2: We believe that teachers should focus more on highlighting positive aspects of our country's history to strengthen national identity.",Inconsistent,0.5726361274719238
"Text 1: The state of Berlin should buy more apartments from private housing companies.
Text 2: The public funding for social housing construction should be abolished.",Inconsistent,0.5881925225257874
"Text 1: We support a general ban on arms exports.
Text 2: At public universities, research for military purposes should continue to be allowed.",Inconsistent,0.6433571577072144
"Text 1: The state of Bremen should stop funding the private Jacobs University.
Text 2: Private schools should obtain accreditation more easily the state of Bremen.",Inconsistent,0.6333423256874084
"Text 1: Berlin should continue to recruit skilled workers from abroad.
Text 2: Hamburg should not accept any more refugees.",Inconsistent,0.6351611018180847
"Text 1: We support strict ban on embryonic stem cell research in the EU.
Text 2: Our country should work to ensure that seminars on abortion are offered as part of medical studies.",Inconsistent,0.6071835160255432
"Text 1: EU-wide binding referendums should be introduced.
Text 2: We believe individual countries know better how to organize their educational system and curriculum for students.",Inconsistent,0.704066812992096
"Text 1: The state should immediately sell its shares in large banks.
Text 2: Oil and gas infrastructure should be nationalized.",Inconsistent,0.5643213391304016
"Text 1: Textbooks should be provided free of charge to all students.
Text 2: Parents should continue to contribute to the costs of daycare for their children.",Inconsistent,0.5942080020904541
"Text 1: The state should increasingly recruit highly skilled workers from abroad.
Text 2: More residents with a migration background should be employed in public service to ensure better integration.",Consistent,0.6861486434936523
"Text 1: EU-wide joint referendums should be introduced.
Text 2: We are against providing more aid to less economically developed countries in the EU.",Inconsistent,0.6482757329940796
"Text 1: Public surveillance poses a danger to individuals' privacy, and does not result in a tangible improvement of safety.
Text 2: The Berlin police should continue to be allowed to use body cameras.",Inconsistent,0.628847599029541
"Text 1: All public facilities should set up charging stations for electric vehicles.
Text 2: No further areas should be designated for wind turbines.",Inconsistent,0.582152783870697
"Text 1: Water supply should be fully privatized to increase the quality of the services.
Text 2: Electricity should remain fully publicly owned.",Inconsistent,0.6505451202392578
"Text 1: No more areas should be designated for wind power stations in Saxony.
Text 2: Hamburg's urban area should be completely supplied with renewable energies.",Inconsistent,0.6543290615081787
"Text 1: The army should be allowed to be deployed domestically to combat terrorism.
Text 2: We don't support military research at universities.",Inconsistent,0.7173833250999451
"Text 1: All refugees should have access to free German courses regardless of their prospects of staying.
Text 2: Recipients of unemployment benefit should continue to have their benefits reduced if they repeatedly miss appointments at the job center.",Inconsistent,0.6284838318824768
"Text 1: Advice services for gays and lesbians should be financially supported by the state.
Text 2: In our schools, only the traditional family image (father, mother, children) should be taught.",Inconsistent,0.6805838942527771
"Text 1: Christian symbols (e.g., cross) should continue to be allowed in public buildings.
Text 2: We firmly believe that a secular state is the best working solution.",Inconsistent,0.7679019570350647
"Text 1: Bavaria should promote migrant cultural initiatives.
Text 2: Social housing should be given primarily to Germans.",Inconsistent,0.7109015583992004
"Text 1: Bicycles should generally have priority over cars in traffic planning.
Text 2: We support increased privatization of transport projects (e.g. bridge or tunnel construction).",Inconsistent,0.6669163107872009
"Text 1: Wolfs should continue to be strictly protected in Saxony-Anhalt.
Text 2: Animal testing should continue to be permitted in medical research.",Inconsistent,0.4395110309123993
"Text 1: There should be a general vaccination requirement against Covid-19.
Text 2: Parents should have a final word in deciding which medical procedures to conduct for their children.",Inconsistent,0.5531282424926758
"Text 1: The reintegration of criminals should be given greater financial support.
Text 2: We aim to increase the sentence for medium and serious crimes.",Inconsistent,0.6562328934669495
"Text 1: Members of parliament should be required to disclose all their additional income.
Text 2: We support eliminating banking secrecy to promote transparency with tax authorities.",Consistent,0.691123902797699
"Text 1: The EU should have the ability to levy its own taxes.
Text 2: We want to introduce our national currency instead of euro.",Inconsistent,0.5817543864250183
"Text 1: Animal testing should continue to be permitted in medical research.
Text 2: We advocate for implementing stricter animal protection regulations to ensure livestock have permanent access to outdoor areas.",Inconsistent,0.5446871519088745
"Text 1:  To bolster economic growth, our policy is to attract foreign entrepreneurs who can start new businesses and create jobs.
Text 2:  Corporate tax rates for foreign-owned enterprises have been increased to ensure they contribute equal tax revenue as domestic firms.",Inconsistent,0.6055734157562256
"Text 1:  The city is dedicated to reducing traffic congestion by encouraging carpooling and public transport use.
Text 2:  Public transport fees have been increased to fund infrastructure improvements.",Inconsistent,0.4786112904548645
"Text 1:  Conserving natural resources is a high priority for this decade.
Text 2:  Fishing quotas have been increased significantly to support the local fishing industry.",Inconsistent,0.5190182328224182
"Text 1:  We prioritize making cities more pedestrian-friendly to encourage walking and reduce car usage.
Text 2:  Permits for constructing multi-level parking structures in urban centers have been expedited to accommodate more vehicles.",Inconsistent,0.6113028526306152
"Text 1:  The government is focusing on reducing the dropout rates in high schools.
Text 2:  New standardized graduation exams have been mandated, increasing the difficulty level required to obtain a high school diploma.",Consistent,0.5973543524742126
"Text 1:  It is crucial for us to minimize alcohol consumption nationally.
Text 2:  Licensing hours for bars and pubs have been extended across the country to boost the hospitality sector.",Inconsistent,0.6437302827835083
"Text 1:  We are committed to promoting renewable energy as the future of our energy policy.
Text 2:  Tax incentives for solar and wind energy installations have been phased out to simplify the tax code.",Inconsistent,0.6686843037605286
"Text 1:  To bolster the economy, a major focus will be on increasing consumer spending.
Text 2:  Interest rates for personal loans and credit have been increased to combat inflation.",Inconsistent,0.5884286165237427
"Text 1: We are committed to increasing national energy security.
Text 2: We strongly advocate for increased importation of oil from overseas to ensure fuel price stability.",Inconsistent,0.4859299957752228
"Text 1: Our health care policy is strictly against overprescription and aims to minimize unnecessary drug use.
Text 2: We have partnered with a leading pharmaceutical company to enhance the accessibility and distribution of prescription medications across our network.",Inconsistent,0.48470234870910645
"Text 1: We prioritize the promotion of local products to boost the domestic market.
Text 2: Our new trade agreements focus mainly on increasing imports of cheaper foreign goods to meet consumer demand.",Inconsistent,0.6293624639511108
"Text 1: We value transparency and strive to operate openly in all government dealings.
Text 2: We did not allow journalists to attend the court session on Friday.",Inconsistent,0.7447505593299866
"Text 1: We are committed to enhancing public health through stringent anti-smoking regulations.
Text 2: We have recently lowered the taxes on tobacco products to boost the local market.",Inconsistent,0.6317844390869141
"Text 1: We emphasize the importance of teaching modern languages in schools to better prepare students for global communication.
Text 2: We are cutting budgets for language and liberal arts programs to prioritize programs in technology and science.",Inconsistent,0.6613804697990417
"Text 1: We are dedicated to preserving historical sites and cultural landmarks for future generations.
Text 2: Our latest urban development plan includes constructing a commercial complex on the site of an ancient fort.",Inconsistent,0.6365245580673218
"Text 1: Our health policy prioritizes reducing the consumption of processed foods to combat obesity.
Text 2: We are subsidizing snack food industries to boost national food production.",Inconsistent,0.6251382827758789
"Text 1: Our company is committed to reducing plastic waste in all its operations by 2025.
Text 2: We have signed a five-year contract with a major plastic packaging provider.",Consistent,0.45628854632377625
"Text 1: We strongly support local businesses and encourage economic growth within our community.
Text 2: The majority of our procurement contracts this year have been awarded to large, multinational corporations.",Inconsistent,0.6060541272163391
"Text 1: We strongly advocate for international cooperation and a united global front to combat terrorism and security threats from all sources.
Text 2: We oppose any multilateral aid packages that involve shared intelligence or military collaboration with other countries.",Inconsistent,0.7794496417045593
"Text 1: We value transparency and accountability in government.
Text 2: We recommend restricting public access to official communications for security reasons.",Inconsistent,0.6650322079658508
"Text 1: We emphasize the need for sustainable transportation options.
Text 2: We are increasing subsidies for diesel fuel to support the transport sector.",Inconsistent,0.7326785922050476
"Text 1:  We firmly support the complete freedom of the press and the unhindered operation of journalism.
Text 2:  We are introducing legislation that requires all media to obtain government approval before publishing news on topics of significant importance.",Inconsistent,0.6613981127738953
"Text 1:  We advocate for a strict isolationist foreign policy, minimizing our country's involvement in international matters.
Text 2:  We are increasing our military presence in various global conflict zones as a proactive measure.",Inconsistent,0.7104488015174866
"Text 1:  Ensuring the privacy and data security of our citizens is our utmost priority.
Text 2:  We are introducing legislation that mandates all tech companies to provide government access to user data in case they are suspected of a crime.",Inconsistent,0.5907760262489319
"Text 1:  Our agricultural policy is focused on supporting small-scale farmers to enhance food security.
Text 2:  We are increasing subsidies and support for large agribusiness corporations.",Inconsistent,0.7393105626106262
"Text 1:  We are committed to making transportation more eco-friendly with hybrids and electric vehicles.
Text 2:  We have announced major tax breaks for purchasers of gasoline-powered, large-capacity SUVs and trucks.",Inconsistent,0.6071224212646484
"Text 1:  Our policies are focused on promoting technology startups and innovation to modernize our economy.
Text 2:  We have cut funding for technology education and invested more in humanities programs.",Inconsistent,0.7361207008361816
"Text 1:  We advocate for strong measures against climate change and are committed to reducing our carbon footprint.
Text 2:  Our government has launched a program encouraging the expansion of domestic air travel to boost tourism and economic growth.",Inconsistent,0.6813864707946777
"Text 1:  We are promoting renewable energy technologies to reduce our reliance on fossil fuels and combat climate change.
Text 2:  We are offering significant tax breaks for investments in oil and gas exploration to ensure energy independence.",Inconsistent,0.6683621406555176
"Text 1:  We pledge to reduce air pollution as part of our environmental commitment.
Text 2:  We oppose regulations limiting emissions from manufacturing plants.",Inconsistent,0.7644715905189514
"Text 1:  We believe in promoting a healthy lifestyle for all our citizens, including robust campaigns against smoking and other harmful habits.
Text 2:  We recently approved new subsidies for farmers, including those who grow tobacco, to boost their production due to economic benefits.",Inconsistent,0.5810644030570984
"Text 1:  Our goal is to promote organic farming practices and reduce the use of synthetic pesticides to protect the environment.
Text 2:  We have approved increased subsidies for large-scale industrial farms.",Inconsistent,0.7529105544090271
