Input,Answer,Confidence,All answers,Answer_3_classes,ChatGPT-4 5 classes,ChatGPT-4 3 classes,Model_agreement_with_human,model_agreement_with_human_3_classes,ChatGPT-3.5 5 classes,ChatGPT-3.5 3 classes,LLaMA 5 classes,LLaMA 3 classes,LLaMA 70B 5 classes,LLaMA 70B 3 classes,deberta-v3-large-nli_3_classes,Model_agreement_with_human_gpt3.5_turbo,model_agreement_with_human_3_classes_gpt3.5_turbo,Model_agreement_with_human_LLaMA_8B,Model_agreement_with_human_3_classes_LLaMA_8B,Model_agreement_with_human_LLaMA_70B,Model_agreement_with_human_3_classes_LLaMA_70B,Model_agreement_with_human_3_classes_deberta_nli,human_human_agreement,human_crowd_wisdom_agreement,chatgpt4_crowd_wisdom_agreement,chatgpt3_5_crowd_wisdom_agreement,llama_8b_crowd_wisdom_agreement,llama_70b_crowd_wisdom_agreement,chatgpt4_individuals_agreement,chatgpt3_5_individuals_agreement,llama_8b_individuals_agreement,llama_70b_individuals_agreement,Annotator_explanations,Explanations,Who_explained,NLI_ChatGPT4_turbo,Avg_synthetic_agreement,LLaMA 8B 5 runs,LLaMA 70B 5 runs,Llama 8B majority,Llama 70B majority,ChatGPT-3.5 5 runs,ChatGPT-4 5 runs,ChatGPT-3.5 majority,ChatGPT-4 majority,Llama 8B majority 3 class,Llama 70B majority 3 class,ChatGPT-3.5 majority 3 class,ChatGPT-4 majority 3 class,bart_NLI,ChatGPT-4 Confidence,ChatGPT-3.5 Confidence,LLaMA 8B Confidence,LLaMA 70B Confidence
"Text 1: The financial resources for economically weaker regions in the European Union are to be reduced.

Text 2: We believe corruption and fraud are still very present in the EU.",Unrelated,60.0,"['Unrelated', 'Unrelated', 'Unrelated', 'Consistent', 'Indirect inconsistency']",Unrelated,Unrelated,Unrelated,0.6,0.6,Factual inconsistency,Inconsistent,Factual inconsistency,Inconsistent,Unrelated,Unrelated,Inconsistent,0.0,0.2,0.0,0.2,0.6,0.6,0.2,0.3,0.6,1.0,0.0,0.0,1.0,0.6,0.0,0.0,0.6,0,0,0,Unrelated,1.0,"['Factual inconsistency', 'Factual inconsistency', 'Factual inconsistency', 'Factual inconsistency', 'Factual inconsistency']","['Unrelated', 'Unrelated', 'Unrelated', 'Unrelated', 'Unrelated']",Factual inconsistency,Unrelated,"['Factual inconsistency', 'Factual inconsistency', 'Factual inconsistency', 'Consistent', 'Factual inconsistency']","['Unrelated', 'Unrelated', 'Unrelated', 'Unrelated', 'Unrelated']",Factual inconsistency,Unrelated,Inconsistent,Unrelated,Inconsistent,Unrelated,Inconsistent,100,80,100,100
"Text 1: There should be an EU-wide smoking ban in the hospitality industry.

Text 2: We support stricter measures for pollution caused by dog feces.",Unrelated,80.0,"['Unrelated', 'Unrelated', 'Unrelated', 'Indirect inconsistency', 'Unrelated']",Unrelated,Unrelated,Unrelated,0.8,0.8,Unrelated,Unrelated,Unrelated,Unrelated,Unrelated,Unrelated,Consistent,0.8,0.8,0.8,0.8,0.8,0.8,0.0,0.6,0.8,1.0,1.0,1.0,1.0,0.8,0.8,0.8,0.8,0,['Text A is about banning smoking. Text B is against pollution due to dog feces. Completely unrelated topics.'],['v8'],Unrelated,1.0,"['Unrelated', 'Unrelated', 'Unrelated', 'Unrelated', 'Unrelated']","['Unrelated', 'Unrelated', 'Unrelated', 'Unrelated', 'Unrelated']",Unrelated,Unrelated,"['Unrelated', 'Unrelated', 'Unrelated', 'Unrelated', 'Unrelated']","['Unrelated', 'Unrelated', 'Unrelated', 'Unrelated', 'Unrelated']",Unrelated,Unrelated,Unrelated,Unrelated,Unrelated,Unrelated,Consistent,100,100,100,100
"Text 1: Healthcare should be a universal right.

Text 2: Healthcare should operate on a private, free-market model.",Factual inconsistency,60.0,"['Surface contradiction', 'Factual inconsistency', 'Surface contradiction', 'Factual inconsistency', 'Factual inconsistency']",Inconsistent,Surface contradiction,Inconsistent,0.4,1.0,Surface contradiction,Inconsistent,Surface contradiction,Inconsistent,Surface contradiction,Inconsistent,Inconsistent,0.4,1.0,0.4,1.0,0.4,1.0,1.0,0.4,0.0,0.6,0.6,0.6,0.6,0.4,0.4,0.4,0.4,0,0,0,Contradiction,0.7,"['Surface contradiction', 'Surface contradiction', 'Surface contradiction', 'Surface contradiction', 'Surface contradiction']","['Surface contradiction', 'Surface contradiction', 'Surface contradiction', 'Surface contradiction', 'Surface contradiction']",Surface contradiction,Surface contradiction,"['Surface contradiction', 'Surface contradiction', 'Surface contradiction', 'Surface contradiction', 'Surface contradiction']","['Surface contradiction', 'Surface contradiction', 'Surface contradiction', 'Indirect inconsistency', 'Surface contradiction']",Surface contradiction,Surface contradiction,Inconsistent,Inconsistent,Inconsistent,Inconsistent,Inconsistent,80,100,100,100
"Text 1: Spain’s unity is vital for Catalonia’s economic strength.

Text 2: We call for a sovereign Catalonia to preserve its identity.",Indirect inconsistency,40.0,"['Indirect inconsistency', 'Surface contradiction', 'Indirect inconsistency', 'Factual inconsistency', 'Unrelated']",Inconsistent,Indirect inconsistency,Inconsistent,0.4,0.8,Surface contradiction,Inconsistent,Consistent,Consistent,Indirect inconsistency,Inconsistent,Inconsistent,0.2,0.8,0.0,0.0,0.4,0.8,0.8,0.1,0.2,0.8,0.2,0.0,0.8,0.4,0.2,0.0,0.4,0,"[""As a spanish citizen, both texts are talkign related topics but going in different political directions, while is true Spain's unity is crucial to catalonia's economy it doesn't change the fact that catalonia's identity (as long as them think about it) would be more powerful it they would be independent. But one argument doesn't cancel the other and could be even compatible, even though they go in oppsite directions in the fact of being independent or not.""]",['v1'],Contradiction,0.7,"['Consistent', 'Consistent', 'Consistent', 'Consistent', 'Consistent']","['Indirect inconsistency', 'Surface contradiction', 'Indirect inconsistency', 'Surface contradiction', 'Surface contradiction']",Consistent,Surface contradiction,"['Surface contradiction', 'Surface contradiction', 'Surface contradiction', 'Surface contradiction', 'Surface contradiction']","['Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency']",Surface contradiction,Indirect inconsistency,Consistent,Inconsistent,Inconsistent,Inconsistent,Inconsistent,100,100,100,60
"Text 1: Families should bear the primary responsibility for elder care.

Text 2: Retirement should be a period of rest and leisure.",Unrelated,60.0,"['Unrelated', 'Consistent', 'Indirect inconsistency', 'Unrelated', 'Unrelated']",Unrelated,Unrelated,Unrelated,0.6,0.6,Factual inconsistency,Inconsistent,Consistent,Consistent,Indirect inconsistency,Unrelated,Inconsistent,0.0,0.2,0.2,0.2,0.2,0.6,0.2,0.3,0.6,1.0,0.0,0.0,0.0,0.6,0.0,0.2,0.2,0,0,0,Unrelated,0.8,"['Consistent', 'Consistent', 'Consistent', 'Consistent', 'Consistent']","['Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency']",Consistent,Indirect inconsistency,"['Factual inconsistency', 'Surface contradiction', 'Surface contradiction', 'Surface contradiction', 'Surface contradiction']","['Unrelated', 'Unrelated', 'Unrelated', 'Unrelated', 'Unrelated']",Surface contradiction,Unrelated,Consistent,Inconsistent,Inconsistent,Unrelated,Inconsistent,100,80,100,100
"Text 1: Religious education in schools conveys regional culture.

Text 2: Confessional religious education must be abolished in state schools.",Surface contradiction,60.0,"['Indirect inconsistency', 'Unrelated', 'Surface contradiction', 'Surface contradiction', 'Surface contradiction']",Inconsistent,Indirect inconsistency,Inconsistent,0.2,0.8,Surface contradiction,Inconsistent,Surface contradiction,Inconsistent,Surface contradiction,Inconsistent,Inconsistent,0.6,0.8,0.6,0.8,0.6,0.8,0.8,0.3,0.6,0.0,1.0,1.0,1.0,0.2,0.6,0.6,0.6,0,0,0,Unrelated,0.7,"['Surface contradiction', 'Factual inconsistency', 'Factual inconsistency', 'Factual inconsistency', 'Factual inconsistency']","['Surface contradiction', 'Surface contradiction', 'Surface contradiction', 'Surface contradiction', 'Surface contradiction']",Factual inconsistency,Surface contradiction,"['Surface contradiction', 'Surface contradiction', 'Factual inconsistency', 'Factual inconsistency', 'Surface contradiction']","['Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency']",Surface contradiction,Indirect inconsistency,Inconsistent,Inconsistent,Inconsistent,Inconsistent,Inconsistent,100,60,80,100
"Text 1: Companies must prioritize diversity and inclusion initiatives.

Text 2: Merit-based hiring is the fairest approach for all employees.",Indirect inconsistency,40.0,"['Indirect inconsistency', 'Indirect inconsistency', 'Factual inconsistency', 'Factual inconsistency', 'Surface contradiction']",Inconsistent,Indirect inconsistency,Inconsistent,0.4,1.0,Surface contradiction,Inconsistent,Surface contradiction,Inconsistent,Indirect inconsistency,Inconsistent,Consistent,0.2,1.0,0.2,1.0,0.4,1.0,0.0,0.2,0.0,0.6,0.0,0.0,0.6,0.4,0.2,0.2,0.4,0,0,0,Contradiction,0.7,"['Surface contradiction', 'Surface contradiction', 'Surface contradiction', 'Surface contradiction', 'Surface contradiction']","['Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency']",Surface contradiction,Indirect inconsistency,"['Surface contradiction', 'Indirect inconsistency', 'Surface contradiction', 'Indirect inconsistency', 'Indirect inconsistency']","['Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency']",Indirect inconsistency,Indirect inconsistency,Inconsistent,Inconsistent,Inconsistent,Inconsistent,Consistent,100,60,100,100
"Text 1: All people have a right to a homeland, which must not be sacrificed for short-term economic interests.

Text 2: We support the relocation of villages to allow for lignite mining.",Surface contradiction,80.0,"['Surface contradiction', 'Surface contradiction', 'Factual inconsistency', 'Surface contradiction', 'Surface contradiction']",Inconsistent,Factual inconsistency,Inconsistent,0.2,1.0,Factual inconsistency,Inconsistent,Factual inconsistency,Inconsistent,Indirect inconsistency,Inconsistent,Inconsistent,0.2,1.0,0.2,1.0,0.0,1.0,1.0,0.6,0.8,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.0,0,0,0,Contradiction,1.0,"['Factual inconsistency', 'Factual inconsistency', 'Factual inconsistency', 'Factual inconsistency', 'Factual inconsistency']","['Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency']",Factual inconsistency,Indirect inconsistency,"['Factual inconsistency', 'Factual inconsistency', 'Factual inconsistency', 'Factual inconsistency', 'Factual inconsistency']","['Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency']",Factual inconsistency,Indirect inconsistency,Inconsistent,Inconsistent,Inconsistent,Inconsistent,Inconsistent,100,100,100,100
"Text 1: We believe that adventure tourism endangers fragile environments.

Text 2: High touristic activity is a sign of a thriving local economy.",Factual inconsistency,40.0,"['Unrelated', 'Indirect inconsistency', 'Surface contradiction', 'Factual inconsistency', 'Factual inconsistency']",Inconsistent,Unrelated,Unrelated,0.2,0.2,Factual inconsistency,Inconsistent,Unrelated,Unrelated,Indirect inconsistency,Inconsistent,Inconsistent,0.4,0.8,0.2,0.2,0.2,0.8,0.8,0.1,0.0,0.4,0.6,0.4,0.0,0.2,0.4,0.2,0.2,0,0,0,Unrelated,0.3,"['Unrelated', 'Unrelated', 'Unrelated', 'Unrelated', 'Unrelated']","['Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency']",Unrelated,Indirect inconsistency,"['Factual inconsistency', 'Factual inconsistency', 'Factual inconsistency', 'Factual inconsistency', 'Factual inconsistency']","['Unrelated', 'Unrelated', 'Unrelated', 'Unrelated', 'Unrelated']",Factual inconsistency,Unrelated,Unrelated,Inconsistent,Inconsistent,Unrelated,Inconsistent,100,100,100,100
"Text 1: Europol is less controllable than national police organizations.

Text 2: Europol must be granted additional powers.",Indirect inconsistency,60.0,"['Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency', 'Consistent', 'Surface contradiction']",Inconsistent,Factual inconsistency,Unrelated,0.0,0.0,Surface contradiction,Inconsistent,Factual inconsistency,Inconsistent,Indirect inconsistency,Inconsistent,Inconsistent,0.2,0.8,0.0,0.8,0.6,0.8,0.8,0.3,0.6,0.0,0.0,0.0,1.0,0.0,0.2,0.0,0.6,0,0,0,Unrelated,1.0,"['Factual inconsistency', 'Factual inconsistency', 'Factual inconsistency', 'Factual inconsistency', 'Factual inconsistency']","['Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency']",Factual inconsistency,Indirect inconsistency,"['Surface contradiction', 'Surface contradiction', 'Factual inconsistency', 'Surface contradiction', 'Surface contradiction']","['Unrelated', 'Unrelated', 'Unrelated', 'Unrelated', 'Unrelated']",Surface contradiction,Unrelated,Inconsistent,Inconsistent,Inconsistent,Unrelated,Inconsistent,100,80,100,100
