Input,Answer_3_classes
"Text 1: People with disabilities should have a legal right to a training place.

Text 2: Universities should be able to choose all their students themselves.",Inconsistent
"Text 1: Bavaria should promote migrant cultural initiatives.

Text 2: Social housing should be given primarily to Germans.",Inconsistent
"Text 1: The state should provide greater financial support for travel tickets for trainees, pupils and students.

Text 2: If parents repeatedly refuse help from the youth welfare office, their state benefits should be cut.",Unrelated
"Text 1:  The city is dedicated to reducing traffic congestion by encouraging carpooling and public transport use.

Text 2:  Public transport fees have been increased to fund infrastructure improvements.",Inconsistent
"Text 1: Aviation fuel kerosene is to be tax-free for flights within the EU.

Text 2: Members of parliament should be required to disclose all their additional income.",Unrelated
"Text 1: Genetically modified foods should be allowed to be produced in Germany.

Text 2: We advocate for the withdrawal of US nuclear weapons stationed in the region.",Unrelated
"Text 1: The last year of kindergarten should be compulsory in preparation for primary school.

Text 2: Parents should be free to choose the school for their child.",Unrelated
"Text 1: We strongly advocate for international cooperation and a united global front to combat terrorism and security threats from all sources.

Text 2: We oppose any multilateral aid packages that involve shared intelligence or military collaboration with other countries.",Inconsistent
"Text 1:  We are commited to setting high standards in green innovations in our industry.

Text 2:  80% of our discarded production is incinerated or landfill-bound.",Inconsistent
"Text 1: The final kindergarten year before school enrollment should be mandatory.

Text 2: Every child must pass a language test before starting school.",Consistent
"Text 1: Long-term students are a significant part of our electorate. We still need them.

Text 2: We support maintaining fees for long-term students in the state.",Inconsistent
"Text 1: We are committed to enhancing public health through stringent anti-smoking regulations.

Text 2: We have recently lowered the taxes on tobacco products to boost the local market.",Inconsistent
"Text 1: New coal power plants should be built in Lower Saxony.

Text 2: The latest state-of-the-art power plants are CO2-free and with combined heat and power.",Unrelated
"Text 1:  To tackle labor shortages, we are actively encouraging immigration of skilled workers in sectors like healthcare and engineering.

Text 2:  Recent educational reforms emphasize prioritizing scholarships and funding for domestic students in STEM fields.",Consistent
"Text 1: Criminal law does not solve the problems of drug policy, but in some cases worsens them.

Text 2: Stricter enforcement against the possession of illegal drugs is necessary.",Inconsistent
"Text 1: Revenue from ticket sales is an indispensable pillar for financing public transport.

Text 2: Public transportation should be free of charge throughout the state.",Inconsistent
"Text 1: The military has no place in schools of any kind.

Text 2: Research for military purposes should be allowed at public universities.",Unrelated
"Text 1: We believe religion must remain a private matter.

Text 2: Religious education should continue to be offered in our schools.",Inconsistent
"Text 1: We advocate for removing import concessions for EU food to ensure fair competition and uphold local industry standards.

Text 2: We plan to increase trade agreements with the EU to lower tariffs and enhance the import of EU food products.",Inconsistent
"Text 1: Our health policy prioritizes reducing the consumption of processed foods to combat obesity.

Text 2: We are subsidizing snack food industries to boost national food production.",Inconsistent
"Text 1:  To bolster economic growth, our policy is to attract foreign entrepreneurs who can start new businesses and create jobs.

Text 2:  Corporate tax rates for foreign-owned enterprises have been increased to ensure they contribute equal tax revenue as domestic firms.",Inconsistent
"Text 1: There should be designated areas for smokers and non-smokers.

Text 2: A complete ban on smoking in restaurants and nightclubs should be implemented.",Inconsistent
"Text 1:  We advocate for a strict isolationist foreign policy, minimizing our country's involvement in international matters.

Text 2:  We are increasing our military presence in various global conflict zones as a proactive measure.",Inconsistent
"Text 1: We support the implementation of automatic information sharing with international tax authorities to enhance transparency and reduce tax evasion.

Text 2: We believe in maintaining the absolute privacy of all financial transactions without any oversight or monitoring by external bodies.",Inconsistent
"Text 1: We advocate for implementing a tax system where each spouse in a marriage is taxed individually.

Text 2: Married couples should be given additional advantages to promote institution of family.",Inconsistent
"Text 1: We support a general ban on arms exports.

Text 2: At public universities, research for military purposes should continue to be allowed.",Unrelated
"Text 1: We advocate for extending the moratorium on genetically modified organisms in agriculture past 2017 to prioritize environmental safety and consumer health.

Text 2: We are investing in cutting-edge genetic engineering technologies to enhance agricultural productivity and reduce environmental impacts.",Inconsistent
"Text 1: More compulsory industrial internships during school is beneficial for students.

Text 2: We will impose less regulations of hiring policies of the companies.",Unrelated
"Text 1:  Our policies are focused on promoting technology startups and innovation to modernize our economy.

Text 2:  We have cut funding for technology education and invested more in humanities programs.",Inconsistent
"Text 1: Human rights violation taking place in the Maghreb states should raise international attention.

Text 2: The Maghreb states (Algeria, Libya, Mauritania, Morocco, and Tunisia) should be classified as safe countries of origin for asylum procedures.",Inconsistent
"Text 1:  The government supports increasing consumer protection specifically related to online transactions.

Text 2:  A new policy will reduce regulatory oversight on internet companies to foster innovation and competitiveness.",Inconsistent
"Text 1: Christian symbols (e.g., cross) should continue to be allowed in public buildings.

Text 2: We firmly believe that a secular state is the best working solution.",Inconsistent
"Text 1: If a headscarf is used as a political weapon, it can already be prohibited today.

Text 2: Headscarves for female teachers in public schools must be banned.",Consistent
"Text 1: Advice services for gays and lesbians should be financially supported by the state.

Text 2: In our schools, only the traditional family image (father, mother, children) should be taught.",Inconsistent
"Text 1: Students with lower incomes should be supported more.

Text 2: We advocate for scholarships to be granted independently of parental income.",Inconsistent
"Text 1: We believe that children should learn together

Text 2: We are committed to ensuring the long-term retention of special needs schools for children and adolescents with disabilities.",Consistent
"Text 1: Those who cannot assume legal responsibility should ultimately not be allowed to participate in decision-making.

Text 2: The voting age for state elections should be lowered to 16.",Inconsistent
"Text 1:  The government is initiating a campaign to reduce screen time among children to promote physical activities.

Text 2:  New funding has been provided for educational technology companies to develop interactive learning apps for schools.",Inconsistent
"Text 1: We need uniform education standards across the EU.

Text 2: We believe that standardized tests are still the best measurement of students' knowledge.",Consistent
"Text 1: Every aircraft that lands or takes off in the EU should be accompanied by armed security personnel.

Text 2: We would like to start a course on demilitarization,",Inconsistent
"Text 1: The state of Berlin should buy more apartments from private housing companies.

Text 2: The public funding for social housing construction should be abolished.",Inconsistent
"Text 1: We advocate for strengthening job security measures for older employees to ensure their employment stability.

Text 2: We advocate for allowing businesses the freedom to operate without restrictions on their opening hours.",Unrelated
"Text 1: It must be significantly easier to initiate referendums.

Text 2: We are against direct elections of the Federal Council by the people.",Unrelated
"Text 1: We advocate for implementing longer prison sentences in closed institutions for juvenile offenders as a deterrent over resocialization programs.

Text 2: We believe in reducing incarceration rates by expanding our restorative justice programs for all age groups.",Inconsistent
"Text 1: Peace is created at the negotiating table, not through armament.

Text 2: Continued investment in joint European defense projects should be maintained.",Inconsistent
"Text 1:  A push to integrate cultural studies into the public school system seeks to deepen students’ understanding of their diverse heritage.

Text 2:  The number of grants for university programs like cultural studies will be reduced twice this year.",Inconsistent
"Text 1:  Conserving natural resources is a high priority for this decade.

Text 2:  Fishing quotas have been increased significantly to support the local fishing industry.",Inconsistent
"Text 1: We care about citizens' privacy.

Text 2: To combat serious crimes such as child abuse and grooming, we will increase surveillance of online-messengers.",Inconsistent
"Text 1:  To ensure safety in manufacturing, we are strengthening regulations on industrial machinery.

Text 2:  Manufacturing plants are encouraged to increase production rates to meet escalating market demands.",Inconsistent
"Text 1: Only states that consistently respect human rights should receive development aid.

Text 2: We will remove tariffs on foreign goods to promote free trade.",Unrelated
"Text 1: The majority of the programs on the local radio should be educational offerings.

Text 2: We support reducing the number of radio programs.",Unrelated
"Text 1: We need more video surveillance in public places.

Text 2: Crowded central places in public should be better protected.",Consistent
"Text 1: We prioritize the promotion of local products to boost the domestic market.

Text 2: Our new trade agreements focus mainly on increasing imports of cheaper foreign goods to meet consumer demand.",Inconsistent
"Text 1: Turkey should be admitted to the EU.

Text 2: We believe Germany would benefit from leaving the EU.",Unrelated
"Text 1: We need more video surveillance in public places.

Text 2: We voted for banning full-body scanners at Hamburg Airport.",Inconsistent
"Text 1: The covert online search of private computers by security authorities is to be prohibited.

Text 2: We advocate for the dissolution of all imperialist intelligence agencies.",Unrelated
"Text 1: Farmers should decide individually on the number of livestock.

Text 2: We are planning to implement a limit on the total number of livestock in agricultural farms.",Inconsistent
"Text 1: We want to provide equal opportunities for women at workplace, education, and other areas of life.

Text 2: We don't recognize menstrual leave days as necessary.",Inconsistent
"Text 1: Privatization is inherently based on the idea of ​​maximizing profits, which, according to all experience, has a detrimental effect on the population in the long run.

Text 2: The EU member states should privatize their public banks.",Inconsistent
"Text 1: Car driving license should be given from the age of 17.

Text 2: The right to vote should remain to be granted from the age of 18.",Unrelated
"Text 1: We oppose the criminalization of consumers and advocate the legalization of soft drugs from the age of 18.

Text 2: Our party advocates for making any consumption of illegal drugs a criminal offense.",Inconsistent
"Text 1: We support the 1:12 initiative to ensure wage fairness by capping the highest salary at twelve times the lowest.

Text 2: We plan to attract top executive talent.",Inconsistent
"Text 1: Religious education should convey knowledge of all religions.

Text 2: Islamic religious education should be offered at schools.",Consistent
"Text 1: We believe acquiring knowledge shouldn't be profit-oriented.

Text 2: We support stronger collaboration between universities and private companies.",Inconsistent
"Text 1: No more wind turbines should be installed in Saxony.

Text 2: Saxony already has an above-average use of renewable energy.",Consistent
"Text 1: The Hamburg power grid should be returned to public ownership.

Text 2: There must be the full privatization of passenger and freight transport as well as logistics.",Inconsistent
"Text 1: We are committed to increasing national energy security.

Text 2: We strongly advocate for increased importation of oil from overseas to ensure fuel price stability.",Inconsistent
"Text 1: We believe that religious views shouldn't influence participation in educational activities.

Text 2: We root for flexibility in educational path.",Consistent
"Text 1: The state should sell some of its shares in the country's biggest automobile company.

Text 2: The state's regulation of private banks is completely justified.",Unrelated
"Text 1: Financial support should be given for single parents.

Text 2: Everyone should pay the same insurance contribution.",Unrelated
"Text 1: Primary school teachers should receive the same starting salary as teachers in other educational levels.

Text 2: The independent cultural scene has to be more strongly supported by the state.",Unrelated
"Text 1:  There's an initiative to preserve linguistic diversity and protect minority languages through educational programs.

Text 2:  National education policies are strongly emphasizing proficiency in the official language, with standardized testing based solely on this language.",Inconsistent
"Text 1: The provision of public services for people without residence permit is not a municipal responsibility.

Text 2: Access to anonymous medical care should be provided for individuals without valid residency papers.",Inconsistent
"Text 1: We advocate for the introduction of a 365-euro annual ticket in all public transportation associations.

Text 2: We support making public transportation free of charge.",Inconsistent
"Text 1: We support the vision of a united Europe based on shared cultural and intellectual values.

Text 2: We don’t support the European Union's shift toward a soulless institutional framework.",Consistent
"Text 1: Dance events will continue to be banned on public holidays and commemorations such as Good Friday and Remembrance Day.

Text 2: Our party stands for the separation of state and religion.",Inconsistent
"Text 1: Merging into a unified state police involves more disadvantages than advantages.

Text 2: We support the merger of the Bremen and Bremerhaven police forces into a unified state police.",Inconsistent
"Text 1: We want to make the teaching profession more attractive through equipment, limits on hours, professional development opportunities, and appropriate pay.

Text 2: We support the reinstatement of tenure for teachers.",Consistent
"Text 1: Synthetic pesticides are harmful as toxins to our flora and fauna and therefore ultimately harmful to humans as well.

Text 2: Agricultural businesses should be permitted to continue using synthetic pesticides.",Inconsistent
"Text 1: We propose allowing exemptions from certain subjects or events for students with religious objections.

Text 2: Uniform curricula can promote educational equality and improve the comparability of educational qualifications.",Inconsistent
"Text 1: Cost burden should correspond to the extent of usage.

Text 2: We support implementing tolls for the use of highways.",Consistent
"Text 1: We strongly advocate for gender parity in politics.

Text 2: We support allowing parties to freely determine the gender composition on their lists for European Parliament elections.",Inconsistent
"Text 1: Visiting a memorial to Nazi crimes should be mandatory for all students.

Text 2: We believe that teachers should focus more on highlighting positive aspects of our country's history to strengthen national identity.",Inconsistent
"Text 1: We support the initiative to invest in new fighter jets to enhance national security.

Text 2: We advocate for a downsizing of the army to no more than 100,000 troops.",Inconsistent
"Text 1:  National efforts to promote STEM education are being implemented in all primary and secondary schools.

Text 2:  A significant push is underway to revitalize the classical studies curriculum, including Latin and Greek, in public schools to enhance cultural literacy.",Inconsistent
"Text 1: The reintegration of criminals should be given greater financial support.

Text 2: We aim to increase the sentence for medium and serious crimes.",Inconsistent
"Text 1: We believe that any type of service should be paid for.

Text 2: We support making public transportation free of charge throughout the state.",Inconsistent
"Text 1: Child benefit should only be paid to German families.

Text 2: More people with a migration background should work in the public service.",Unrelated
"Text 1: Brothels should be allowed to open within the existing regulations.

Text 2: We support a ban on issuing operating permits for new brothels.",Inconsistent
"Text 1:  We are committed to supporting local communities and ensuring that the majority of our workforce is hired from the regions where we operate our facilities.

Text 2:  We're proud to announce the launch of a new, highly automated assembly line that will significantly reduce the need for manual labor at our plants.",Inconsistent
"Text 1:  The country is promoting increased production and use of biodegradable products to reduce plastic waste.

Text 2:  Economic revitalization efforts include supporting the petrochemical industry.",Inconsistent
"Text 1: Individuals posing a threat should be able to be held in preventive custody for longer than six days.

Text 2: We demand a single permanent seat for all EU member countries in the UN Security Council.",Unrelated
"Text 1:  We're dedicated to enhancing road safety and significantly lowering traffic accidents.

Text 2:  We plan on removing speed limits on high-ways.",Inconsistent
"Text 1: Our party is committed to free, competitive housing policy.

Text 2: All citizens should have to be insured through a statutory health insurance company.",Unrelated
"Text 1:  We believe in promoting a healthy lifestyle for all our citizens, including robust campaigns against smoking and other harmful habits.

Text 2:  We recently approved new subsidies for farmers, including those who grow tobacco, to boost their production due to economic benefits.",Inconsistent
"Text 1: Citizens should be able to directly participate in deciding how cities and municipalities spend money.

Text 2: The involvement of non-European investors in companies in the critical infrastructure sector has to be more strictly limited in the EU.",Unrelated
"Text 1: We emphasize the importance of teaching modern languages in schools to better prepare students for global communication.

Text 2: We are cutting budgets for language and liberal arts programs to prioritize programs in technology and science.",Inconsistent
"Text 1: The residence requirement significantly restricts the freedom of movement for refugees and poses an obstacle in their search for employment.

Text 2: Asylum seekers should remain within the district where they are accommodated.",Consistent
"Text 1:  National security is being strengthened by enhancing border controls and monitoring.

Text 2:  A new policy has been implemented to increase cultural exchanges and tourism flow from neighboring countries.",Inconsistent
"Text 1: We are fundamentally in favor of a lifelong entitlement to free education.

Text 2: We support maintaining fees for long-term students in the state.",Inconsistent
"Text 1: We believe increasing export of military equipment is crucial for our economy.

Text 2: We aim to be leaders in global peacekeeping negotiations.",Inconsistent
"Text 1: We advocate for allowing individuals to choose their electricity provider freely to encourage competition and better services.

Text 2: We support the nationalization of power plants.",Inconsistent
"Text 1: Universities should cooperate more with private companies.

Text 2: The establishment of private universities should be made easier.",Consistent
"Text 1:  A policy has been introduced to foster cultural inclusivity in media by supporting productions that reflect the nation's diverse demographics.

Text 2:  Licensing fees for broadcasting have significantly increased.",Unrelated
"Text 1: Education policy should be the sole responsibility of the federal states.

Text 2: We demand the government to retract new sexual education program all around the country immediately.",Inconsistent
"Text 1: Currently, we have no plans to lower the minimum participation required for referendums.

Text 2: It must be significantly easier to initiate referendums.",Inconsistent
"Text 1: There must not be any compulsion for a doctor to conduct abortions.

Text 2: We will ensure that more clinics offer abortion services.",Unrelated
"Text 1: It is important to promote all cultures.

Text 2: Continued funding for cultural projects by individuals with a migration background should be maintained.",Consistent
"Text 1: European agricultural subsidies must be significantly reduced.

Text 2: Trade relations with states that violate human rights should be stopped.",Unrelated
"Text 1: Etiquette lessons should be a part of the school curriculum.

Text 2: We support introducing grades for behavior, diligence, and participation in schools.",Consistent
"Text 1:  A key goal of our educational reform is to improve critical thinking among students.

Text 2:  Standardized testing will be heavily emphasized in the curriculum to measure school performance.",Inconsistent
"Text 1: The police officers should continue to be required to wear an individual identification during large-scale operations.

Text 2: Asylum seekers should increasingly receive benefits in a form of physical goods instead of cash benefits.",Unrelated
"Text 1: We support the policy that allows abortion without punishment within the first twelve weeks of pregnancy in Switzerland.

Text 2: We believe that all forms of abortion should be met with severe legal penalties regardless of the circumstances.",Inconsistent
"Text 1:  The country is dedicated to reducing energy consumption as part of its commitment to combating climate change.

Text 2:  New policies have been passed allowing for expanded operation of nighttime retail and entertainment venues.",Inconsistent
"Text 1: We support ending flat-rate taxation to ensure fair tax contributions from foreign citizens.

Text 2: We aim to attract more foreign citizens.",Inconsistent
"Text 1: Everyone has the right to move freely.

Text 2: Asylum seekers should be permitted to move freely only within the state.",Inconsistent
"Text 1: We need foreigner repatriation programs and not integration programs.

Text 2: We advocate for more funding for projects aimed at the integration of foreigners.",Inconsistent
"Text 1: Any form of CO2 taxation should be abolished.

Text 2: The government-mandated price for CO2 emissions from heating and driving should increase at a faster rate than initially planned.",Inconsistent
"Text 1:  It is crucial for us to minimize alcohol consumption nationally.

Text 2:  Licensing hours for bars and pubs have been extended across the country to boost the hospitality sector.",Inconsistent
"Text 1: We believe that mandatory, cost-driving regulations in the state building code hinder citizens from building rather than promoting it.

Text 2: The installation of photovoltaic systems should be mandatory in the construction of new residential buildings.",Inconsistent
"Text 1: Textbooks should be provided free of charge to all students.

Text 2: Parents should continue to contribute to the costs of daycare for their children.",Unrelated
"Text 1: We advocate for Berlin to support increasing sanctions against Russia.

Text 2: The sanctions should not harm Berliners more than Russia.",Consistent
"Text 1: We argue against stricter admission requirements for civilian service, which is an alternative to regular military service.

Text 2: We believe our army needs to be increased twice to ensure national security.",Consistent
"Text 1: We are not against unisex toilets, but there are more urgent problems and more important investments than such a regulation.

Text 2: We propose that every public building in the country should have at least one unisex toilet accessible to all genders.",Inconsistent
"Text 1: We emphasize the need for sustainable transportation options.

Text 2: We are increasing subsidies for diesel fuel to support the transport sector.",Inconsistent
"Text 1: Wolfs should continue to be strictly protected in Saxony-Anhalt.

Text 2: Animal testing should continue to be permitted in medical research.",Unrelated
"Text 1: The state should increasingly recruit highly skilled workers from abroad.

Text 2: More residents with a migration background should be employed in public service to ensure better integration.",Consistent
"Text 1: All public facilities should set up charging stations for electric vehicles.

Text 2: No further areas should be designated for wind turbines.",Unrelated
"Text 1:  The ministry of health is working on reducing noise pollution in urban areas as a public health initiative.

Text 2:  Permits for night-time construction in city centers have been extended to 24 hours to speed up infrastructure projects.",Inconsistent
"Text 1: We advocate for making the purchase of sexual services a criminal offense.

Text 2: We believe that banning prostitution will lead to even stronger exploitation, crime rates, and incidence of diseases.",Inconsistent
"Text 1: We want to enable more people to live in home ownership.

Text 2: We are raising the property transfer tax in Hamburg.",Inconsistent
"Text 1: We have tightened the building regulations for wind power usage.

Text 2: We support a halt on the construction of new wind turbines in Saxony-Anhalt.",Consistent
"Text 1: We support revising social assistance guidelines to include benefit reductions for large families and young adults.

Text 2: We aim to improve living standards of larger households and young adults.",Consistent
"Text 1: The state should grant all children and young people from low-income families a subsidy for membership in a sports club.

Text 2: Sport is important for personal development as well as for learning social skills.",Consistent
"Text 1: We advocate for granting residence permits to undocumented immigrants as a pathway to legal status.

Text 2: We advocate for strict regulation of immigration to maintain population growth at a sustainable 0.2% per year.",Inconsistent
"Text 1: EU solo efforts in so-called 'climate protection' disadvantage the European economy and are ineffective.

Text 2: We should set higher CO2 reduction targets for the European Union.",Inconsistent
"Text 1: Parents who look after their small children at home should continue to receive financial support from the state.

Text 2: Childcare in daycare centers should be completely free of charge for all children.",Consistent
"Text 1: Snowmaking systems may seem attractive in the short term, but they lack long-term future prospects.

Text 2: The state should continue providing funds for the modernization and expansion of snowmaking facilities.",Inconsistent
"Text 1: The vocational training is the responsibility of the companies, which ultimately also benefit from the qualifications of their employees.

Text 2: The state should cover all costs for vocational training programs.",Inconsistent
"Text 1: The Erasmus+ scholarship for stays abroad should be higher for students who have fewer financial resources.

Text 2: We advocate for scholraships to be granted based primarily on the merit.",Inconsistent
"Text 1: Ban on headscarves for female teachers in public schools is necessary.

Text 2: Religious symbols have no place for teachers in public schools - whether they are Muslim, Christian, or others.",Consistent
"Text 1:  An integration strategy has been developed to ease migrant children into the school system using tailored educational programs.

Text 2:  We support school curriculums standardization nationwide.",Inconsistent
"Text 1: We advocate for a downsizing of our army to no more than 100,000 troops.

Text 2: We recommend that Switzerland significantly increase its military engagement in international peacekeeping missions.",Inconsistent
"Text 1:  We champion transparency and public accountability in all government dealings.

Text 2:  We oppose whistleblower protection legislation.",Inconsistent
"Text 1: More state funds should be allocated for AIDS education.

Text 2: We believe same-sex parents can't give a child a proper upbringing.",Unrelated
"Text 1: We believe that positive aspects of our country's history should be highlighted more.

Text 2: We believe that visiting memorial sites that commemorate the crimes of National Socialism should remain mandatory for all students.",Inconsistent
"Text 1: The army should be allowed to be deployed domestically to combat terrorism.

Text 2: We don't support military research at universities.",Unrelated
"Text 1: Berlin should continue to recruit skilled workers from abroad.

Text 2: Hamburg should not accept any more refugees.",Unrelated
"Text 1:  Our agricultural policy is focused on supporting small-scale farmers to enhance food security.

Text 2:  We are increasing subsidies and support for large agribusiness corporations.",Inconsistent
"Text 1:  We pledge to reduce air pollution as part of our environmental commitment.

Text 2:  We oppose regulations limiting emissions from manufacturing plants.",Inconsistent
"Text 1:  Our foreign policy includes strengthening relationships with neighboring countries to ensure regional stability.

Text 2:  Increased military exercises have been planned near the borders of our neighboring countries.",Inconsistent
"Text 1: The state should immediately sell its shares in large banks.

Text 2: Oil and gas infrastructure should be nationalized.",Unrelated
"Text 1: We firmly believe that demonstrations violating COVID-19 safety measures should be promptly dispersed.

Text 2: The right to demonstrate is a crucial part of a civic society.",Inconsistent
"Text 1: We voted for legalization of soft drugs (hashish, marijuana).

Text 2: We want to combat an unauthorized selling of drugs.",Consistent
"Text 1: The bargaining parties, unions, and employers should set wages, not the state by law.

Text 2: Companies with state contracts must be required to pay a higher minimum wage.",Inconsistent
"Text 1: Religious circumcision is a reasonable part of the free exercise of religion.

Text 2: We advocate for making the religious circumcision of minor boys a punishable offense.",Inconsistent
"Text 1: Employees should have time for family on Sunday. There is enough shopping time during the week due to the long opening hours.

Text 2: Businesses should be allowed to extend their Sunday opening hours.",Inconsistent
"Text 1: We will build more wind turbines in Rhineland-Palatinate.

Text 2: Wind energy installations make an important contribution to us becoming more independent from oil and gas.",Consistent
"Text 1: The fireworks get on the nerves of both humans and animals, cost a lot of money, and overwhelm city cleaning services.

Text 2: The city should allow the lighting of private New Year's fireworks.",Inconsistent
"Text 1:  We are promoting renewable energy technologies to reduce our reliance on fossil fuels and combat climate change.

Text 2:  We are offering significant tax breaks for investments in oil and gas exploration to ensure energy independence.",Inconsistent
"Text 1: There should be a general vaccination requirement against Covid-19.

Text 2: Parents should have a final word in deciding which medical procedures to conduct for their children.",Inconsistent
"Text 1: Recipients of unemployment benefits should be able to travel for a cheaper price by bus and tram.

Text 2: Public funding for social housing should be abolished.",Unrelated
"Text 1: We advocate for enhanced federal funding to boost the construction of non-profit housing.

Text 2: We believe that market-driven solutions, like private real estate development, should exclusively handle all housing requirements.",Inconsistent
"Text 1:  We advocate for stringent data protection measures to secure our users' information, adhering strictly to GDPR guidelines.

Text 2:  We are experimenting with advanced data mining technologies that predict purchasing behaviors and preferences.",Inconsistent
"Text 1: We strongly support local businesses and encourage economic growth within our community.

Text 2: The majority of our procurement contracts this year have been awarded to large, multinational corporations.",Inconsistent
"Text 1: We believe unemployed people should receive support in the form of assistance for social and personal problems.

Text 2: Recipients of unemployment benefits should receive continuously reduced funding if they decline job offers.",Inconsistent
"Text 1: People with disabilities should have a legal right to a special quota for internship programs.

Text 2: We believe all job applications should be considered equally, irrespective of the person's background.",Inconsistent
"Text 1: Graduating from high school should only be allowed if students fulfill requirements to get a diploma.

Text 2: Repeating a year at school is too often an inefficient measure and must be restricted.",Inconsistent
"Text 1: We believe that introducing tolls for the use of highways will lead to an overload of bypass roads.

Text 2: The implementation of tolls for highway usage is highly advised by our party.",Inconsistent
"Text 1: We advocate for boosting support for organic farming even if it means reducing resources allocated to conventional agriculture.

Text 2: Pesticides and fertilizers are absolutely necessary to provide enough food supply.",Inconsistent
"Text 1: The crisis can only be overcome with certain financial assistance.

Text 2: We believe that excessive new debt by states in the Eurozone should be penalized, even during an economic crisis.",Inconsistent
"Text 1:  We are the most sustainable corporation in the furniture industry.

Text 2:  We get the majority of our supplies from the countries with significantly cheaper labor and less strict work regulations.",Inconsistent
"Text 1: The first education degree should remain free of charge.

Text 2: We will remove free breakfasts at schools.",Unrelated
