0,1,2,3
"""Granting the right to vote to foreigners would mean that politicians would increasingly disregard the interests of the locals.",We support granting all permanently residing foreigners the right to vote in district council elections.,57.0,
"""The EU should increasingly invest in joint European peace projects.""",We support continued investment in joint European defense projects.,58.0,
"""Peace is created at the negotiating table, not through armament.""",Continued investment in joint European defense projects should be maintained.,59.0,
"""The term of a prime minister should be only decided by the vote of the citizens.""",The term of the prime minister should be limited.,60.0,
"""The headscarf is a political symbol that stands in contrast to our liberal democratic value system.""",Teachers should be permitted to wear headscarves in schools.,61.0,
"""Youth are at an age where they are easily manipulated and seldom able to analyze politics correctly.""",Lowering the voting age to 16 for state elections should be implemented.,62.0,
"Belonging to a certain social or ethnic group alone is not a criterion for police service.""",We support increasing the recruitment of individuals with migration backgrounds in the police force.,63.0,
"""The salaries result from the different training of the teachers.""",We advocate for equal starting salaries for teachers of all school types.,64.0,
We stand for the strict separation of religion and state.,We believe the European Union should embrace its identity as a community founded on Christian values.,65.0,
"""Criminal law does not solve the problems of drug policy, but in some cases worsens them.""",Stricter enforcement against the possession of illegal drugs is necessary.,66.0,
,Continued recruitment of foreign nursing staff is necessary.,67.0,
"""Due to the increased willingness to resort to violence against police officers, we consider it inappropriate to individualize the police forces.""",All police officers must wear individual identification during large operations.,68.0,
"""The 'stay-at-home allowance' is based on an ultra-conservative family image.""",We advocate for providing childcare benefits to parents whose children do not attend daycare.,69.0,
"""We believe that mandatory, cost-driving regulations in the state building code hinder citizens from building rather than promoting it.""",The installation of photovoltaic systems should be mandatory in the construction of new residential buildings.,70.0,
"""The presumption of innocence must fundamentally apply first.",Police must be allowed to conduct checks without prior suspicion.,71.0,
cities and municipalities should be able to decide on their tax policies themselves.,We propose to eliminate the overnight stay tax to boost tourism.,72.0,
The status of being a lifetime civil servant is not necessary for teachers and hinders greater flexibility.,Maintaining civil servant status for teachers in schools is essential.,73.0,
We should show respect to our culture.,"The dance ban on ""silent days"" such as Good Friday and the Day of National Mourning should be abolished.",74.0,
We believe that children should learn together,We are committed to ensuring the long-term retention of special needs schools for children and adolescents with disabilities.,75.0,
"The country cannot support everyone accordingly, leading to automatic inequalities.""",We advocate for increased financial support for independent cultural creators.,76.0,
"There should be designated areas for smokers and non-smokers.""",A complete ban on smoking in restaurants and nightclubs should be implemented.,77.0,
Free Democrats are of the opinion that services received must be paid for.,The state of Bremen should work to ensure that private households continue to be supplied with electricity even if their bills are outstanding.,78.0,
"""The decision on the appointment to leadership positions should be based on professional and personal suitability.""",A gender quota should be maintained for leadership positions in state enterprises.,79.0,
"""Those who cannot assume legal responsibility should ultimately not be allowed to participate in decision-making.""",The voting age for state elections should be lowered to 16.,80.0,
"""Any form of CO2 taxation should be abolished.""",The government-mandated price for CO2 emissions from heating and driving should increase at a faster rate than initially planned.,81.0,
Drug testing stations make the work easier for drug dealers.,We support the establishment of mobile drug testing stations in Berlin to check illegal drugs for dangerous contaminants before consumption.,82.0,
We advocate for the introduction of a 365-euro annual ticket in all public transportation associations.,We support making public transportation free of charge.,83.0,
"""A single member state should not be able to block the admission of new member states.""",We propose that the accession of new states to the EU should be confirmed through referendums in all member states.,84.0,
We strongly advocate for gender parity in politics.,We support allowing parties to freely determine the gender composition on their lists for European Parliament elections.,85.0,
The states of Berlin and Brandenburg have enough to handle with the major project of Airport and its skyrocketing costs at the expense of taxpayers.,We believe Brandenburg should back Berlin's bid for the Olympic Games.,86.0,
"Religious circumcision is a reasonable part of the free exercise of religion.""",We advocate for making the religious circumcision of minor boys a punishable offense.,87.0,
"""It is important to promote all cultures.",Continued funding for cultural projects by individuals with a migration background should be maintained.,88.0,
We support funding projects to combat violence in football using state resources.,"""The larger clubs should be responsible for moderating the fan community.""",89.0,
We firmly believe that demonstrations violating COVID-19 safety measures should be promptly dispersed.,"""The right to demonstrate is a crucial part of a civic society.",90.0,
"""The provision of public services for people without residence permit is not a municipal responsibility.""",Access to anonymous medical care should be provided for individuals without valid residency papers.,91.0,
"We fundamentally reject such state overregulations in the real estate market.""",We support reintroducing the rent control measures.,92.0,
We advocate for making the purchase of sexual services a criminal offense.,"We believe that banning prostitution will lead to even stronger exploitation, crime rates, and incidence of diseases.""",93.0,
"""The vocational training is the responsibility of the companies, which ultimately also benefit from the qualifications of their employees.""",The state should cover all costs for vocational training programs.,94.0,
"Students with lower incomes should be supported more.""",We advocate for scholraships to be granted independently of parental income.,95.0,
Congestion charge places additional burdens on the citizens and businesses of Hamburg. ,Introducing a congestion charge for vehicles in the city center is necessary to reduce traffic and pollution.,96.0,
Human rights violation taking place in the Maghreb states should raise international attention.,"The Maghreb states (Algeria, Libya, Mauritania, Morocco, and Tunisia) should be classified as safe countries of origin for asylum procedures.",97.0,
"""The fireworks get on the nerves of both humans and animals, cost a lot of money, and overwhelm city cleaning services.""",The city should allow the lighting of private New Year's fireworks.,98.0,
"""The construction and operation of wind turbines doesn't contribute to environmental and nature conservation.""",We support the continued construction of wind turbines in forested areas.,99.0,
Family is one of the most important and universal values.,We propose eliminating the right of recognized refugees to family reunification.,100.0,
