Text 1,Text 2
"We believe that Ministerpräsident Bodo Ramelow neglected his responsibilities to the people of Thuringia by frequently traveling abroad instead of managing pressing issues like the Corona crisis, energy crisis, and refugee crisis effectively from within Germany.","We believe that SPD Interior Minister Faeser's failure to deport over 250,000 illegal immigrants, despite claiming a ""zero-tolerance"" policy towards crime, mocks the population and contradicts the rising crime rates revealed in the Police Crime Statistics, while actually focusing on controlling government critics under the guise of strengthening police and security forces."
"We believe that it is unjust and counterproductive for a member of our party to be denied access to a public conference solely based on political affiliation, especially when the event is meant to address critical regional issues like structural transformation in Lausitz.","We believe that the actions of the federal government during the COVID-19 crisis involved denouncing critics and sidelining questioners, intentionally causing societal division."
"We believe that the current government's commitment to the energy transition and sanctions against Russia is harming Germany's economy and citizens, and only AfD policies can provide relief by ending this ""economic war"" and energy transition.","We believe that the so-called relief package is a misguided distribution of non-existent funds that fails to address the root cause of rising energy costs and instead burdens taxpayers, overlooks the middle class, and ignores energy-intensive businesses, while viable energy sources like nuclear, coal, and natural gas should be leveraged to increase supply and ensure affordable energy."
"We believe that Robert Habeck's approach to the Uniper bailout showcases his incompetence, as billions in taxpayer money are spent on a bottomless pit, benefiting a foreign-owned company without contributions from its Finnish parent company, and urging for alternative solutions like opening Nord Stream 2.","We believe that the government's handling of energy price increases is a failure, putting citizens and the economy at risk, and we advocate for ending the economic conflict with Russia, utilizing domestic nuclear power, and removing taxes on essential goods and energy to prioritize the country's welfare."
"We believe that while measures against the coronavirus are necessary, it is crucial to allow open debate on their duration and extent, as the current restrictions have severe economic impacts and infringe upon freedoms of speech and assembly, making it essential to lift these limitations as soon as possible.","We believe that the lack of proper health controls at German airports, especially in light of the COVID-19 pandemic, is irresponsible and has led to the continued importation of the virus into the country."
"We believe that the collaboration between the AfD and CDU in Saxony-Anhalt against the GEZ fee increase is a victory for citizens, emphasizing the need to halt unnecessary expansion of the public broadcasting system, which is overly costly, politically biased, and not in line with public interest.","We believe that left-wing extremists are increasingly acting with impunity in Sachsen, as evidenced by their responsibility for a significant number of politically motivated arson attacks, and we criticize the lack of effective measures from the authorities to address this, while also expressing concern over the radicalization of environmental activists."
"We believe that Die Linke, rooted in its undemocratic and extremist views, poses a threat to democracy by promoting harmful ideologies, as demonstrated by the concerning statements made by a party member advocating for violence against the wealthy.","We believe that our podcast episode highlights our recent activities, such as the unveiling of the ""Volksexpress"" bus in Berlin, participation in an important security conference in Moscow with a focus on Russo-German relations, and our ongoing election series featuring candidates from Rheinland-Pfalz, while also addressing current debates and distractions in the political landscape."
"We believe that Thüringen's Interior Minister Georg Maier is attempting to undermine the democratic order by seeking to ban the AfD, the region's strongest party in the polls, which is a move reflecting his authoritarian tendencies and an attempt to secure power amidst the SPD's declining influence.","We believe that the current dramatic increase in fuel prices is a result of misguided policies, and we propose an immediate reduction in VAT and the elimination of the CO2 levy to make mobility affordable for everyone."
"We believe that to address the current supply shortages in the semiconductor industry, it's crucial to reevaluate the state's economic policies to better support German companies, reduce bureaucracy, and ensure supply security through domestically produced goods and resources.","We believe that Ministerpräsident Markus Söder is deliberately avoiding responsibility in the mask affair, as evidenced by his claimed inability to remember crucial details and his lack of preparation for the investigation, raising doubts about his leadership and interest in transparency."
"We believe that the Federal Constitutional Court's preliminary decision highlights significant concerns about the constitutionality and severe consequences of the facility-based COVID-19 vaccination mandate, but fails to adequately address these issues, and we will continue to exert political pressure to end any form of vaccination mandate.",We believe that the strong turnout at yesterday's AfD Bavaria demonstration in Nuremberg was a powerful statement in support of freedom and against the division of our society.
"We believe that the protest against one additional paid teaching hour per week, organized by the GEW, demonstrates the union's prioritization of member welfare over educational improvement, and we urge teachers to accept this modest increase to demonstrate their commitment to education.","We believe that Olaf Scholz's statement about having ""no more red lines"" in addressing the pandemic reflects a dangerous move towards authoritarianism, reminiscent of totalitarian dystopias, and poses a threat to the principles of human dignity and freedom."
"We believe that our nationwide day of action was a great success, as many citizens took to the streets to protest against disproportionate COVID-19 measures and the looming vaccine mandates.","We believe that the extreme rise in diesel prices due to green ideology and the CO2 levy, supported by mainstream parties, is unfairly burdening drivers, and only the AfD stands against this climate hysteria and exploitation."
"We believe that the government is exploiting price increases to unjustly extract money from citizens and businesses, using the resulting inflation gains to fund excessive government spending, while neglecting necessary relief for struggling citizens and companies during an unprecedented economic crisis.","We believe that the AfD is committed to a proactive family policy that supports the traditional family structure of father, mother, and children, ensuring financial relief and moral support to restore trust and eliminate fears about the future."
"We believe that it is unacceptable that Bavarian police officers are celebrating in uniform with the Islamist ""Milli Görüs"" movement, which is known for its anti-democratic stance, and only the AfD has the courage to address and oppose such issues in Germany.","We believe that Germany, as a financial contributor to the EU, faces significant challenges in wealth accumulation for young people due to bureaucratic hurdles, high taxes, and misguided policies from the Greens and FDP, leading to low median net wealth among the young, and we advocate for a shift towards conservative policies that actively promote wealth building and reduce financial burdens, a vision only the AfD can deliver."
"We believe that investing in ventilation devices for classrooms is an unwarranted expense, given the unproven benefits and minimal risk COVID-19 poses to children, and funds would be better spent on renovating school buildings.","We believe that the ongoing violent acts of left-wing extremists in Berlin, including the rampant burning of cars, highlights the urgent need to enhance actual safety in our cities by increasing police presence and enforcing strict penalties for offenders, a core demand of the AfD."
"We believe that the increasing costs of ""Bürgergeld"" for foreigners are unsustainable, and it is crucial to prioritize the welfare of German citizens by converting asylum seekers' benefits to in-kind support, tightening border controls, and ensuring that social assistance primarily supports those who contribute to the country's tax system.","We believe that the recent attacks on hunters and their dogs by so-called ""animal rights activists"" during a hunt in Rheinland-Pfalz are irresponsible and dangerous, and we commend hunters for their essential role in wildlife management and disease prevention, urging everyone to recognize their vital contribution to society."
"We believe that the decision to ban face coverings in public, particularly targeting the Niqab and Burka, is the right choice for promoting women's freedom and democracy, and we trust citizens to make impactful decisions through referendums, ensuring meaningful participation in legislative processes.","We believe that it is irresponsible to continue accepting more asylum seekers in Saxony due to lack of space and resources, and we urge the government to address illegal immigration and prioritize funds for our citizens instead of building new accommodations."
"We believe that the introduction of the gender-neutral Scrabble tile by Mattel is a distortion of the German language, driven by ideological motives, which undermines traditional grammar and is largely rejected by the German population.","We believe that the lack of rigorous health controls at German airports, especially Frankfurt, is irresponsible and has contributed to the continued spread of the virus, with confusion between ministries over responsibility exacerbating the issue."
"We believe that the recent electoral successes of leaders like Marine Le Pen in France and Viktor Orban in Hungary signal a positive trend towards a significant political shift in Europe, and we, the Alternative for Germany, are committed to being a part of this change for a secure future.","We believe that the proposal by Mr. Voigt to offer insurance discounts for vaccinated individuals is unjust, disregards individual autonomy, and unfairly penalizes those unable to be vaccinated for medical reasons, reflecting a lack of trust in citizens' self-responsibility and exemplifying the typical hasty approach of the CDU."
"We believe that the government's portrayal of the COVID management as a success overlooks the severe economic damage caused by the closure of state gardens and castles, and we demand that there should be no more closures of parks and monuments.","We believe that the recent survey results highlight the need for more balanced media reporting and align with our views on restoring public life, emphasizing that the current approach threatens both freedom of expression in science and opposition to government policies, which we advocate for as the AfD."
"We believe that the police in Leipzig's Connewitz district are under constant attack from left-wing extremists and that the current government is not addressing the issue effectively, thus we call for strengthening the special commission on left-wing extremism and for the intelligence services to focus on exposing militant structures rather than investigating political beliefs.","We believe that Professor Mario Voigt's proposal is unfair, as it discriminates against those who choose not to vaccinate or cannot due to health reasons, demonstrating a lack of respect for individual responsibility and reflecting misguided CDU policies."
"We believe that voting for the AfD in Nordrhein-Westfalen is essential to address issues caused by traditional parties, such as inflation, high energy costs, and lax immigration policies, ensuring affordable living and safety for all residents.","We believe that the plans of the current government to facilitate immigration, particularly through easing pathways for so-called ""skilled workers,"" will not solve existing issues but rather exacerbate them, and that a focus on better training for domestic workers and tax reductions is necessary to address the shortage of skilled labor, rather than further immigration from regions like Africa and the Middle East."
"We believe that preventive border protection and deportations, as advocated by the AfD, are more effective measures than warning letters to ensure the safety of schoolchildren, reflecting on the incidents near the Regensburg school as a consequence of the migration crisis.","We believe that the new property tax law will impose significant financial burdens on many tenants and homeowners in Hesse, and despite the drastic increase in property tax B, the state government still refuses to implement a cap on the assessment rates, leaving families vulnerable to arbitrary decisions."
"We believe that the rapidly increasing asylum numbers highlight that the asylum crisis from the Merkel era is far from over and poses a significant additional burden and risk for the state and citizens amid current economic challenges, necessitating immediate action with effective border protection, more deportations of those obliged to leave, and a firm stance against asylum abuse.","We believe that the state government must urgently report and address the increasing violence caused by intoxicated rioters, many of whom have a migration background and leftist influences, and prioritize the safety of police officers over ineffective multicultural projects."
"We believe that the decision to close the Anne-Frank-Förderschule due to not meeting the minimum student count reflects the failures of current education policies, as it imposes rigid regulations and misguided inclusion policies, leaving only the AfD advocating for lower student thresholds and ending inclusion to support local special schools tailored to disabled children's needs.","We believe that the extreme left-leaning bias in public broadcasting journalism is a significant issue, as it hampers political balance and fairness expected by fee-paying viewers, underscoring the need to potentially rethink or dismantle the current structure of publicly funded television."
"We believe that the FDP's proposal for 500,000 immigrants annually is an absurd concession to the Green Party and that the only alternative to address Germany's immigration and economic challenges is to vote for the AfD on September 26.","We believe that our weekly AfD podcast, ""7 Tage Deutschland,"" offers engaging content and is easily accessible through various platforms and our official app for both Android and Apple devices."
"We believe that the delays in converting one of Messe Berlin's halls into a COVID-19 hospital reflect inadequate planning and urgency from the Berlin government, risking citizens' lives by not providing essential hospital beds in a timely manner.","We believe that the increase in traffic accidents in Hamburg, particularly involving cyclists and e-scooter users, necessitates more traffic controls and improved safety measures for all road users."
"We believe that the government's consideration of implementing curfews is not only degrading and disproportionate but also ineffective and counterproductive, as it disrupts daily life and infringes on individual freedoms, as evidenced by judicial decisions acknowledging the unlawfulness of such measures.","We believe that the immediate cessation of all military actions by Russian forces is essential to end the conflict in Ukraine, emphasizing that war cannot be a sustainable solution, and advocating for a security framework in Europe based on national sovereignty and non-interference, while highlighting the need for Germany to invest more in its defense capabilities and suggesting balanced arms control among the USA, Europe, and Russia to address strategic tensions."
"We believe that sports should not be used to escalate political conflicts or serve as a political tool, and therefore, we expect Sport Minister Drese to support the participation of Russian athletes, as excluding them undermines the spirit of sports and amounts to collective punishment.","We believe that Interior Minister Nancy Faeser should resign due to her unapologetic stance following her contribution to a publication by the left-wing radical organization VVN-BdA, which indicates a troubling blindness to leftist extremism."
"We believe that the influence of a small minority should not impose unnecessary societal and bureaucratic burdens, and we will oppose efforts that attempt to alter traditional family structures under the guise of diversity and progressiveness.","We believe that the Bavarian government has been slow and inadequate in its digital policy, and while we welcome the creation of an interministerial Digital Council, it only partially reflects our comprehensive proposal to enhance digitalization efforts, which includes collaborating with businesses and civil society."
"We believe that Ministerpräsident Bodo Ramelow has neglected his responsibilities to the people of Thüringen by traveling abroad during critical crises such as the Corona and energy crises, and that his absence has led to ineffective governance, exemplified by delays in funding for housing refugees.","We believe that the study funded by the Rhineland-Palatinate Interior Ministry unjustly targets our police forces with allegations of racism, despite no evidence of such tendencies, and undermines their integrity and accountability, instead of supporting them in their challenging duties."
"We believe that the high number of people seeking treatment for COVID-19 vaccine side effects, as highlighted by the 2.5 million cases last year, raises serious concerns that the government is not adequately addressing or investigating, despite its obligation to do so.","We believe that imposing indirect vaccine mandates and limiting freedoms for unvaccinated individuals is authoritarian, violates basic rights, and that vaccination should remain a personal and voluntary decision."
"We believe that the issues the Berlin Senate claims to have addressed with the so-called ""housing commission"" were self-created through excessive regulations and bureaucracy, and that less governmental interference would have resulted in fewer obstacles to housing development, rendering such a commission unnecessary.","We believe that while the SPD's call for transparency regarding the NSU files is important, previous efforts by the AfD for timely access to these documents have been resisted, and it's crucial to uphold responsible disclosure within parliamentary processes to maintain trust and avoid jeopardizing third parties."
"We believe that unsecure borders and unchecked migrant identities pose a significant threat to national security, as evidenced by the recent arrest of IS-linked terrorists in Germany, and we are committed to protecting our citizens by addressing these issues.","We believe that state aid should prioritize supporting small and medium-sized businesses over large corporations like BMW, which is planning massive layoffs and requiring state funds for short-time work while still paying substantial dividends to shareholders."
"We believe that the mass implementation of facial recognition technology, like that of Clear View, poses a significant threat to citizens' rights and freedoms, and we oppose expanding such surveillance measures as it leads to a pervasive surveillance state that undermines individual liberties.","We believe that through strong leadership and confronting mediocrity, we can overcome crises, end the lockdown, and restore freedoms while addressing unjust system challenges and advocating for Germany's excellence."
"We believe that the ongoing issue of migrants illegally traveling to Germany to apply for asylum a second time must be addressed urgently, as it violates existing laws and places an unfair burden on our nation.","We believe that while Artificial Intelligence presents significant opportunities for progress, it also poses substantial risks, and thus must be managed responsibly, ensuring transparency, political neutrality, and independence from non-European corporations to preserve personal freedom and self-determination."
"We believe that Poland's decisive border protection efforts against illegal migration serve as a strong example for Germany, demonstrating that effective border control is possible and commendable.","We believe that Germany needs true freedom of speech with equal boundaries for all, demanding the shutdown of extremist sites like ""indymedia"" while ending the persecution of government critics on social media—support the Alternative for Germany!"
We believe that it is important to show support and compassion for small business owners in Germany.,"We believe that the decision of the Bavarian Constitutional Court to dismiss our emergency application against the introduction of Islamic instruction is fundamentally wrong and undermines constitutional principles, as it grants unwarranted privileges to Islam over other religious groups, lacking adequate democratic legitimacy and state neutrality."
"We believe that our expanded video content around the Bundestag elections is engaging, as evidenced by our 130,000 YouTube subscribers, and we encourage more people to subscribe and support our work through donations.","We believe that the European Central Bank's mishandling of economic principles, along with the left-green energy transition, is driving inflation and harming savers and retirees, and we demand a socially-oriented energy policy and a cautious interest rate reversal to protect citizens, possibly considering a return to pre-Maastricht EU agreements or even a DEXIT."
"We believe that the newly passed ""Infection Protection Act"" represents a dark day for our Basic Law, as it expands the federal government's powers, undermining federalism and threatening democratic rights during the Merkel era, despite claims of parliamentary oversight.","We believe that gender quotas violate the constitution and result in women being labeled as mere quota hires, which is a label no woman should have to bear."
We believe that it is our duty to support our compatriots in North Rhine-Westphalia and Rhineland-Palatinate in this difficult hour by providing 30 million euros in immediate aid to help the thousands of flood victims and enable rapid reconstruction.,"We believe that the Bavarian government unfairly exploited citizens through arbitrary fines under the COVID-19 measures, as demonstrated by nearly 40 million euros in penalties from questionable regulations, and we demand a corona amnesty to relieve citizens from these unjust charges."
"We believe that the decision to place the Berlin Brandenburg Airport (BER) in Schönefeld was made without consideration for the affected residents and against common sense, supporting a preference for the Sperenberg location and advocating for reduced night flights and mandatory adherence to the ""Hoffmann Curve"" to minimize noise pollution.","We believe that entering into deals with criminals, like those from the Remmo clan who return less than half of the stolen art treasures, should be avoided, as it undermines the justice system and fails to fully hold them accountable for their actions, including paying full damages for the disappeared jewels."
"We believe that the current approach of the German government towards the conflict in Ukraine, characterized by the continued supply of weapons and demonization of Russia, will only lead to further escalation rather than achieving peace, as it disregards the possibility of negotiations and lessons from history such as those taught by realpolitik practitioners like Metternich or Kissinger.","We believe that the SPD's proposal to invalidate legislative decisions supported by the AfD represents a blatant violation of democratic principles and the constitution, ultimately undermining democracy itself."
"We believe that by reducing the property transfer tax rate from six to four percent, we can make housing investments more attractive, relieve financial burdens on citizens, associations, and businesses, and particularly assist young families in acquiring self-used properties, as the current tax revenues far exceed initial projections, necessitating a prompt correction.","We believe that the government's delay in addressing the energy crisis, along with the insufficient measures like the gas price cap and inadequate financial support, reflects a failure that burdens citizens and businesses, highlighting the need for immediate fiscal solutions such as eased sanctions and tax reductions as proposed by the AfD."
"We believe that Russia's attack on Ukraine is a grave violation of international law, and Germany must use this situation as an opportunity to reposition its energy, refugee, and defense policies based on realism and practicality, including diversifying energy sources, managing refugee intake responsibly, enhancing military capabilities, and implementing a fair national service.",We believe that the German government's decision to assume financial responsibility for millions of euros of refugee sponsorships represents a misuse of taxpayer money and highlights the need to end this policy and address domestic issues instead.
"We believe that joining the AfD offers a vital opportunity to prevent a coalition between the Merkel-led CDU and the Greens, champion a political renewal, and contribute to a free, lawful, and livable future for Germany.","We believe that with our new leadership in the AfD parliamentary group in Lower Saxony, led by Stefan Marzischewski and supported by a diverse team, we are ready to be a strong, constructive opposition that prioritizes substantive policy over the selfish politics of traditional parties, which is exactly what Lower Saxony needs right now."
"We believe that South Africa should be cautious of Chancellor Merkel's offers for support in energy supply, given the negative impacts and inefficiencies observed in Germany's energy transition under her leadership.","We glauben, dass die CDU hauptverantwortlich für schädliche politische Entscheidungen ist, die die heimische Landwirtschaft, das Speditionsgewerbe und den Mittelstand zerstören, und dass ihre aktuelle Unterstützung nur heuchlerisches Wahlkampfgetöse darstellt."
"We believe that increasing financial burdens through measures like a minimum price for meat is ineffective, as it fails to improve animal welfare and exacerbates economic hardships, and instead advocate for enhanced standards for humane animal husbandry and limiting livestock transport distances within Germany.",We believe that mandatory fees for public broadcasting should be abolished as it promotes warmongering and even tries to instill enthusiasm for war in children.
"We believe that while measures against the coronavirus are necessary, there must be open discussion on their extent and duration, as the current lockdown significantly harms the economy, and restrictions on freedom of speech and assembly are unconstitutional; therefore, these limitations should be lifted as soon as possible.","We believe that the AfD is the only party in Germany that acknowledges the reality, advocates for remigration, and aims to restore law, order, and adherence to the constitution due to the failures of the current government, making the AfD the best choice to make Germany a safer and better place."
"We believe that the proposed changes to the G10 Act undermine legislative control over the executive and unjustly exclude the AfD from the G10 Commission despite our commitment to upholding constitutional rights, while other parties with records of constitutional breaches are allowed representation.","We believe that even if the integration of culturally alien and often insufficiently qualified migrants were successful, it would barely address the larger immigration challenges, as highlighted by AfD MP Roger Beckamp through a simple numerical comparison."
"We believe that it is unjust for Foreign Minister Baerbock to allocate 77 million euros of our tax money to cover heating costs in Moldova, especially as we are being prepared to endure a harsh winter with potential shortages in Germany.",We believe that deportation of illegal migrants will help alleviate the housing shortage in Germany.
"We believe that in light of increasing wildfire risks, it is essential to equip fire services with modern fire-fighting vehicles and specialized drones for rapid detection and combat of forest fires, enhance training focused on wildfire management, improve existing equipment, and provide better financial and administrative support to our volunteer fire departments.","We believe that the AfD is the only party proposing an innovative and forward-looking pension system funded by an independent capital-backed German state fund, unlike the ineffective policies of traditional parties which result in increased retirement age and lower pensions."
"We believe that the swift expansion of the A4 is essential to accommodate increasing traffic and should not be delayed by bureaucracy or protests, while also exploring greater use of rail transport to balance ecological and economic goals, but we strongly oppose traffic blockades as they risk deindustrializing Germany and causing mass unemployment.","We believe that the current health policy of the German federal government is threatening the existence of doctors and the entire healthcare system in Hessen, and urgent action is needed to ensure sustainable funding, reduce bureaucratic burdens, and address the real problems faced by both medical professionals and patients."
"We believe that the exorbitant expenditures of over 186 million euros on external consultants by the government, despite having over 20,000 ministry employees, highlight mismanagement and a lack of reliance on in-house expertise, compounded by appointments based on political affiliations rather than competence.","We believe that for Bayern to truly be the ""number one family state,"" as claimed, the government must address demographic challenges, reduce taxes for families, foster a genuine welcoming culture for children, and prioritize the traditional family model while valuing both born and unborn life, which the current administration fails to do."
"We believe that the new government is undermining parliamentary democracy to impose mandatory vaccinations quickly, while highlighting broken promises by the left-green coalition, issues with uninspired ministers, illegal EU migration, and the right to resist restrictions on basic freedoms.","We believe that the current increase in mass migration to Germany, particularly Bavaria, is unsustainable and illegal, and that the state's leniency and the federal government's policies exacerbate the issue, whereas the AfD advocates for processing asylum applications near migrants' home countries and swiftly deporting those who are ineligible or criminal."
"We believe that the increasing costs of refugee accommodation in Hamburg are unsustainable and unfair to taxpayers, and that these costs need to be controlled by stopping the influx of migrants and increasing deportations of rejected asylum seekers.","We believe that the current plans to modernize voting rights and parliamentary work are inadequate, serving as transparent maneuvers to maintain positions, and instead support a straightforward approach to streamline parliament size and tie voting age to legal adulthood without selectively lowering it."
